,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
324,Richard Pryor: Live in Concert,1979,Not Rated,01 Jan 1979,78 min,Comedy,Jeff Margolis,Richard Pryor,"Richard Pryor, Patti LaBelle","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTg4NDkwMzYwNF5BMl5BanBnXkFtZTYwNTMzMTQ5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,8.2,"4,162",tt0079807,movie,25 Aug 1998,N/A,Compact Video Systems Inc.,N/A,True,,
325,Natural Selection,2015,N/A,12 Nov 2015,N/A,"Short, Horror",Sol Martínez,Sol Martínez,"Carla Martinez, Juan Sedano",N/A,Spanish,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BZTRmOTgwOGItZTFjYi00Y2YzLThhN2EtZjk2MDAzNmMwYjBiL2ltYWdlXkEyXkFqcGdeQXVyMzMwMDgzMw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6501304,movie,N/A,N/A,N/A,N/A,True,,
326,Gilmore Girls: A Year in the Life,2016,TV-14,25 Nov 2016,90 min,"Comedy, Drama",N/A,N/A,"Lauren Graham, Alexis Bledel, Scott Patterson, Kelly Bishop","Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BODM1OTk4MDY2M15BMl5BanBnXkFtZTgwOTEwNzczMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"26,427",tt5435008,series,,,,,True,1,
327,Michael Che Matters,2016,TV-MA,25 Nov 2016,61 min,Comedy,Osmany Rodriguez,Michael Che,"Michael Che, DJ Cipha Sounds, Jeremy Gaddie, Jeff Motley","Jesus, Guns, Black Lives Matter. White girls dancing, Honest, uncompromising comedy where no topic is out of bounds",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzMwZGRlN2EtMTc1OS00NWE0LWJjYjMtMDdkYzQ0YTVhMjcxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQ1OTA0ODQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,737",tt6209400,movie,25 Nov 2016,N/A,Netflix,N/A,True,,
328,Ludo,2015,N/A,22 Nov 2016,90 min,"Fantasy, Horror, Thriller","Qaushiq Mukherjee, Nikon","Nikon Basu (story and screenplay), Qaushiq Mukherjee (screen play), Qaushiq Mukherjee (story), Waleed Nesyif (story), Nikon (story)","Kamalika Banerjee, Joyraj Bhattacharya, Soumendra Bhattacharya, Ananya Biswas","Four desperate teenagers. A night of sexy mayhem. The big city. Or so the plan goes, until a series of misadventures later, Babai, Pele, Ria and Payal end up in a locked shopping mall in ...",Bengali,India,N/A,https://m.media-amazon.com/images/M/MV5BNjMyMTBlNWQtZTBiZi00NTllLTkwODItNzczYzFiNGNjZjQ0XkEyXkFqcGdeQXVyNjQ5NzA0ODQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.9/10'}]",N/A,2.9,585,tt3724898,movie,N/A,N/A,N/A,N/A,True,,
329,Mercy,2016,TV-MA,22 Nov 2016,90 min,"Drama, Mystery, Thriller",Chris Sparling,Chris Sparling,"James Wolk, Tom Lipinski, Caitlin FitzGerald, Mike Donovan","When four estranged brothers return home to say their last goodbye to their dying mother, Grace, hidden motivations reveal themselves.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BY2I3MWZmMDEtMzYxNy00MTJiLTg4NmMtMGM2NDFjNzg5MDE2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMyODE4NDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,"2,619",tt5710042,movie,22 Nov 2016,N/A,Netflix,N/A,True,,
330,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
331,Gandu,2010,Unrated,29 Oct 2010,85 min,Drama,"Qaushiq Mukherjee, Qaushiq Mukherjee",Qaushiq Mukherjee,"Anubrata Basu, Joyraj Bhattacharya, Rii Sen, Kamalika Banerjee","After Nihilistic rapper Gandu steals from his mother's lover, he embarks on a drug-fueled rampage with a rickshaw puller in this abstract film.",Bengali,India,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTg1MDg1ODkxNV5BMl5BanBnXkFtZTcwNzM3Mjg5OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"2,124",tt1841611,movie,11 Dec 2012,N/A,N/A,N/A,True,,
332,I'll Be Home for Christmas,1998,PG,13 Nov 1998,86 min,"Comedy, Family",Arlene Sanford,"Tom Nursall (screenplay), Harris Goldberg (screenplay), Michael Allin (story)","Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole","A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",English,"USA, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZTA2ZTcwMDMtMTRhNC00N2I5LWJlNDMtYjIyZjBkYzQ2NDEwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}]",N/A,5.5,"8,756",tt0155753,movie,09 Nov 1999,N/A,Buena Vista Pictures,N/A,True,,
333,Colin Quinn: The New York Story,2016,N/A,18 Nov 2016,62 min,Comedy,Jerry Seinfeld,Colin Quinn,Colin Quinn,Colin Quinn discusses the origins of New York and how it got its unique personality.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDljMDQ1YzQtN2YwNS00NzA0LTgwNjYtMjhiMzgyMTUyYWRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjMyMTk2NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,800,tt6257714,movie,18 Nov 2016,N/A,Netflix,N/A,True,,
334,Divines,2016,N/A,18 Nov 2016,105 min,"Crime, Drama",Houda Benyamina,"Houda Benyamina (adaptation), Houda Benyamina (dialogue), Houda Benyamina (screenplay), Romain Compingt (adaptation), Romain Compingt (dialogue), Romain Compingt (screenplay), Malik Rumeau (screenplay)","Oulaya Amamra, Déborah Lukumuena, Kevin Mischel, Jisca Kalvanda",A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.,French,"France, Qatar",Nominated for 1 Golden Globe. Another 14 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BYTE2NDk1YjktNWE0My00NTcwLTg0MTItYmI2YjFkMmRmMzBmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.4,"7,426",tt4730986,movie,18 Nov 2016,N/A,Easy Tiger,N/A,True,,
335,Paranoid,2016,N/A,22 Sep 2016,45 min,"Crime, Drama, Mystery, Thriller",N/A,N/A,"Indira Varma, Robert Glenister, Dino Fetscher, Christiane Paul","The murder of a female GP in a rural playground in front of numerous witnesses draws a group of detectives into an ever-darkening mystery that takes them across Europe, aided by mysterious notes sent by the ""Ghost Detective"".",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BNWJlNjA5MjMtMDRlOS00NGE0LTk3YTYtNTM4ZjBhNTNlNzcwXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"5,601",tt5839454,series,,,,,True,1,
336,Brown Nation,2016–,N/A,15 Nov 2016,21 min,Comedy,N/A,N/A,"Doug E. Doug, Kapil Bawa, Jaspal Binning, Melanie Chandra","Hasmukh operates a small IT Consulting company ""Shree Ganesh Computers Limited Inc"" in Queens, NY. Staffed by a disinterested and lazy cast of characters, his business flounders. His home ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGEwMzgyOWUtYzIyOS00ZjI3LTg3ODAtOGQ4MzUzOTg0M2MxXkEyXkFqcGdeQXVyMTQ1OTY0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,527,tt3787402,series,,,,,True,1,
337,Dieter Nuhr: Nuhr in Berlin,2016,Not Rated,15 Nov 2016,69 min,Comedy,Volker Weicker,Dieter Nuhr,Dieter Nuhr,"The cerebral and popular German cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal Big Bang.",German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BZmI4MzcwMDYtMzFkOC00NTYyLWFjOGUtYjZmMGIyMzcxOTBiXkEyXkFqcGdeQXVyNTg3OTIzNTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,52,tt6959666,movie,N/A,N/A,N/A,N/A,True,,
338,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
339,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
340,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
341,True Memoirs of an International Assassin,2016,TV-14,11 Nov 2016,98 min,"Action, Comedy, Crime",Jeff Wadlow,"Jeff Morris (screenplay), Jeff Wadlow (screenplay)","Kevin James, Kim Coates, Maurice Compte, Zulay Henao","After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEzMjI0Mzc5MV5BMl5BanBnXkFtZTgwODExMDgxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.9,"18,535",tt1542768,movie,11 Nov 2016,N/A,Netflix,N/A,True,,
342,Case,2015–,N/A,18 Oct 2015,45 min,"Crime, Drama, Mystery, Thriller",N/A,N/A,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,Icelandic,Iceland,2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNGU3OGRmZGUtZmE0OC00MWY2LWFmNDctZTc3MGY0M2E0YjFmXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,818",tt5038858,series,,,,,True,1,
343,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
344,My Way,2016,N/A,17 Mar 2016,N/A,"Short, Drama","Joseph Marquez, Mike Silva","Joseph Marquez, Mike Silva","Joseph Marquez, Eric Cepeda",Follows a dogs life and those affected by him,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWY0MjA3NWYtZmE4My00ZWMxLTk0YWUtNjhlMDhjZDczMjJiXkEyXkFqcGdeQXVyNTcxMTI0MTU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt5567452,movie,N/A,N/A,N/A,N/A,True,,
345,The Ivory Game,2016,N/A,04 Nov 2016,112 min,Documentary,"Kief Davidson, Richard Ladkani",N/A,"Andrea Crosta, Ian Stevenson, Prince William",Wildlife activists in take on poachers in an effort to end illegal ivory trade in Africa.,English,Austria,8 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNTY4OTQ3NDIwMF5BMl5BanBnXkFtZTgwOTk4MzkzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.9,"2,557",tt5952266,movie,04 Nov 2016,N/A,Netflix,N/A,True,,
346,"Dana Carvey: Straight White Male, 60",2016,N/A,04 Nov 2016,64 min,Comedy,Marcus Raboy,Dana Carvey,"Dana Carvey, Dex Carvey, Thomas Carvey","Emmy-winning comedy legend Dana Carvey returns to the stage with a routine that blends pitch-perfect impressions of big personalities with so-true-it-hurts stories about being a dad of millennials, the joys of aging, and pharmaceuticals.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWJlMzAxMGItNzRlMS00MTIzLTljMzItMDI5ZjIxYzU5ZTIyXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,268",tt6217368,movie,04 Nov 2016,N/A,Netflix,N/A,True,,
347,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
348,Mean Streets,1973,R,14 Oct 1973,112 min,"Crime, Drama, Thriller",Martin Scorsese,"Martin Scorsese (screenplay), Mardik Martin (screenplay), Martin Scorsese (story)","Robert De Niro, Harvey Keitel, David Proval, Amy Robinson",A small-time hood aspires to work his way up the ranks of a local mob.,"English, Italian",USA,5 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMWNmNGY3ZGMtYWQ3OC00Zjg4LWFiN2EtZjM2MDI1YzRiNjg3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,7.3,"91,512",tt0070379,movie,17 Aug 2004,N/A,Warner Bros.,N/A,True,,
349,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
350,November Rule,2015,N/A,14 Feb 2015,94 min,Comedy,Mike Elliott,"Candice Childress, Juwan Lee, Cecelia Ross","Mo McRae, Tatyana Ali, DJ Qualls, La La Anthony","Up-and-coming sports shoe entrepreneur Steve, who is still reeling from the death of his dad, has made a ""November rule"" in order to keep his distance from the women who seem to be getting ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMGYyZTBhZjctZjU2ZS00YzVhLTliZDItNTQzNmYwMTJhZDYxXkEyXkFqcGdeQXVyNDQ3MDY4ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,803,tt3273434,movie,N/A,N/A,Capital Love,N/A,True,,
351,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
352,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
353,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
354,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
355,The November Man,2014,R,27 Aug 2014,108 min,"Action, Crime, Thriller",Roger Donaldson,"Michael Finch (screenplay), Karl Gajdusek (screenplay), Bill Granger (book)","Pierce Brosnan, Luke Bracey, Olga Kurylenko, Bill Smitrovich",An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level C.I.A. officials and the Russian President-elect.,"English, Russian","USA, UK",N/A,https://m.media-amazon.com/images/M/MV5BNTkzMDk5NjUxNV5BMl5BanBnXkFtZTgwMzMwOTMyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.3,"60,972",tt2402157,movie,25 Nov 2014,N/A,Relativity Media,N/A,True,,
356,I Am the Pretty Thing That Lives in the House,2016,N/A,28 Oct 2016,89 min,"Horror, Mystery, Thriller",Oz Perkins,Oz Perkins,"Ruth Wilson, Paula Prentiss, Bob Balaban, Lucy Boynton",A young nurse takes care of an elderly author who lives in a haunted house.,English,Canada,2 nominations.,https://m.media-amazon.com/images/M/MV5BZmM1MzFiOTAtNGQ5MS00ZTgzLTg4YmEtZDhlZmY3YjUzNGNlXkEyXkFqcGdeQXVyMjU3OTg4NzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,4.5,"11,371",tt5059406,movie,28 Oct 2016,N/A,Netflix,N/A,True,,
357,The African Doctor,2016,N/A,08 Jun 2016,96 min,"Biography, Comedy, Drama",Julien Rambaldi,"Benoît Graffin (adaptation), Benoît Graffin (dialogue), Benoît Graffin (screenplay), Julien Rambaldi (adaptation), Julien Rambaldi (dialogue), Julien Rambaldi (screenplay), Kamini Zantoko (adaptation), Kamini Zantoko (dialogue), Kamini Zantoko (original idea)","Marc Zinga, Aïssa Maïga, Bayron Lebli, Médina Diarra","The story of Seyolo Zantoko, who as a freshly graduated doctor of Congolese descent in France, struggled with his family to integrate in a small rural village, and ended up being considered as one of the most respected doctors in the area.","French, Lingala",France,N/A,https://m.media-amazon.com/images/M/MV5BZTgzN2E3YWEtZjE4MC00OGM2LWE0ZTEtZDFlNjAyYzY1NzdiXkEyXkFqcGdeQXVyNjU0MTU4NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"6,940",tt5555502,movie,N/A,N/A,N/A,N/A,True,,
358,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
359,7 Años,2016,N/A,28 Oct 2016,77 min,Drama,Roger Gual,"Jose Cabeza (story), Roger Gual (additional writing), Cristian Conti (additional writing), Julia Fontana, Jose Cabeza","Juana Acosta, Alex Brendemühl, Paco León, Manuel Morón",Four friends face an agonizing decision. One must go to prison. The other three must make the sacrifice worthwhile.,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMzkwZTRmNzMtYTg3Ni00NzU4LTk4M2UtYzU0ZDQ2OWZiMTY3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"3,724",tt5517438,movie,N/A,N/A,N/A,N/A,True,,
360,West Coast,2016,N/A,27 Apr 2016,80 min,Drama,Benjamin Weill,"Camille Fontaine (screenplay), Valerio Polloni (Italian dialogue), Valerio Polloni (adaptation), Benjamin Weill (screenplay)","Devi Couzigou, Victor Le Blond, Mathis Crusson, Sullivan Loyez",Four french teenagers in a small town are sure to be real West Coast gangstas. They gonna live their crazy last expedition. They will grow and learn.,French,France,N/A,https://m.media-amazon.com/images/M/MV5BMDY1ZjYwOGEtYTlhMi00MzFjLWE5ODMtYjlhNTY2ODU1YzI5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,527,tt4131240,movie,N/A,N/A,N/A,N/A,True,,
361,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
362,Joe Rogan: Triggered,2016,N/A,21 Oct 2016,63 min,Comedy,Anthony Giordano,Joe Rogan,Joe Rogan,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTE0M2FkNGMtYjYxNi00MDRkLWE0YWUtNWI4NWU3NWIzMWIzXkEyXkFqcGdeQXVyMzE5NzI0NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"3,501",tt6023444,movie,21 Oct 2016,N/A,Netflix,N/A,True,,
363,Scream Queen Stream,2016–,N/A,19 Feb 2016,N/A,Reality-TV,N/A,N/A,"Jessica Cameron, Heather Dorff","Jessica Cameron and Heather Dorff are scream queens and best friends who have been tearing up Los Angeles for the last few years with their legendary exploits, which their legions of fans ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzUwZGE3ZWMtYWI3Yi00YWZmLTgwYTAtNGIwYmZkZjhkMGQ2XkEyXkFqcGdeQXVyMjIxNjkyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,17,tt5497394,series,,,,,True,1,
364,,,,,,,,,,,,,,,,,,,,,,,,,False,,Movie not found!
365,Dansen op de vulkaan,2014,N/A,30 Oct 2014,81 min,Drama,Adriënne Wurpel,"Sjors Mans, Nils Verkooijen, Adriënne Wurpel","Nils Verkooijen, Marcel Musters, Mouna Goeman Borgesius, Gina van Os","Maarten has an incurable matabolic disorder. His friend, Stefan, is the only one who knows. No one at his school, his danceschool, not even his new girlfriend named Roxanne. It's just ...",Dutch,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BMTkzNDg3MDgwN15BMl5BanBnXkFtZTgwMDkwMzQ1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,242,tt3323318,movie,N/A,N/A,N/A,N/A,True,,
366,The Art of Organized Noize,2016,N/A,22 Mar 2016,99 min,"Documentary, Music",Quincy Jones III,Joshua Krause,"2 Chainz, André Benjamin, Big Boi, Sleepy Brown","As pioneers of the Dirty South music movement, Organized Noize is responsible for Outkast, CeeLo, the Goodie Mob and the Dungeon Family. Their production shaped the landscape of hip-hop ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODhkZDU3MzQtNTE1Yi00YTkwLWFhYTUtY2ZjZjM4NTI2ZWE3XkEyXkFqcGdeQXVyMTM4NzA3NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,406,tt5105736,movie,N/A,N/A,N/A,N/A,True,,
367,Terrace House,2015–,TV-14,N/A,N/A,Reality-TV,N/A,N/A,N/A,"Six men and women who start as strangers live together under one roof for the summer. No script, new episode released each week.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BN2ZhNmJmY2QtMjBjYy00NWM0LTllZTUtZTJkNjFmMmYyMWJiL2ltYWdlXkEyXkFqcGdeQXVyMjYzMjA3NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"1,191",tt4790546,series,,,,,True,1,
368,Sky Ladder: The Art of Cai Guo-Qiang,2016,N/A,14 Oct 2016,76 min,Documentary,Kevin Macdonald,N/A,"Ian Buruma, Guo-Qiang Cai, Wen-You Cai, Wenhao Cai","Trace the rise of contemporary artist Cai Guo-Qiang from childhood in Mao's China to global art world superstar, and join his quest to realize his lifelong obsession: Sky Ladder.","English, Mandarin",USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUwNjY1NzQzMF5BMl5BanBnXkFtZTgwMDE1ODIyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.3,975,tt5278930,movie,14 Oct 2016,N/A,Netflix,N/A,True,,
369,,,,,,,,,,,,,,,,,,,,,,,,,False,,Series not found!
370,Mascots,2016,TV-MA,13 Oct 2016,89 min,Comedy,Christopher Guest,"Christopher Guest, Jim Piddock","Zach Woods, Wayne Wilderson, Sarah Baker, Michael Hitchcock",A look into the world of competitive mascots.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjQxNjAxMzI5Ml5BMl5BanBnXkFtZTgwMzE2NjA5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.7,"6,317",tt4936176,movie,13 Oct 2016,N/A,Netflix,N/A,True,,
371,Justin Timberlake + the Tennessee Kids,2016,N/A,12 Oct 2016,90 min,"Documentary, Music",Jonathan Demme,N/A,"Justin Timberlake, Dontae Winslow","The final performance of Justin Timberlake and the Tennessee Kids' 20/20 Experience World Tour, filmed in 2015 at the MGM Grand Garden Arena in Las Vegas.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWViYWY1NGItMTMxYi00OWJhLTkxMzctZDQ1NjVjOTcwN2NmXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.9,"1,697",tt5001772,movie,N/A,N/A,N/A,N/A,True,,
